City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Suntar,RU,2021-09-06 19:23:59,62.1444,117.6319,43.47,83,100,3.44
124,Americus,US,2021-09-06 19:19:27,32.0724,-84.2327,92.35,40,1,3.44
125,Evensk,RU,2021-09-06 19:24:00,61.95,159.2333,41.9,51,100,4.76
126,Vostok,RU,2021-09-06 19:20:53,46.4856,135.8833,52.74,82,100,4.34
127,Marawi,PH,2021-09-06 19:24:01,7.9986,124.2928,65.64,95,100,5.28
128,Constitucion,CL,2021-09-06 19:21:28,-35.3333,-72.4167,54.43,70,85,10.07
129,Jutai,BR,2021-09-06 19:24:02,-5.1833,-68.9,91.96,49,86,2.39
130,Mount Isa,AU,2021-09-06 19:24:02,-20.7333,139.5,58.77,26,33,14.97
131,Merauke,ID,2021-09-06 19:24:03,-8.4667,140.3333,76.86,80,100,16.28
132,Novyy Yarychiv,UA,2021-09-06 19:24:03,49.9044,24.3052,51.13,69,13,4.47
133,Grindavik,IS,2021-09-06 19:24:03,63.8424,-22.4338,50.47,87,75,8.05
134,Marsaxlokk,MT,2021-09-06 19:24:04,35.8419,14.5431,79.41,69,20,9.22
135,Delhi,IN,2021-09-06 19:20:23,28.6667,77.2167,91.31,89,40,6.91
136,Moba,CN,2021-09-06 19:24:05,33.2288,105.0179,54.93,74,99,1.97
137,Atikokan,CA,2021-09-06 19:24:05,48.7555,-91.6216,67.91,43,100,7.47
138,Sisimiut,GL,2021-09-06 19:24:05,66.9395,-53.6735,43.79,69,100,13.09
139,Hilo,US,2021-09-06 19:19:30,19.7297,-155.09,82.26,79,90,4.61
140,Bonwapitse,BW,2021-09-06 19:24:06,-23.0766,26.7037,77.0,20,8,15.46
141,Nenjiang,CN,2021-09-06 19:24:07,49.1833,125.2167,55.09,98,100,7.05
142,Ushumun,RU,2021-09-06 19:24:07,52.7833,126.5333,60.12,86,100,9.01
143,Kannod,IN,2021-09-06 19:24:07,22.6667,76.7333,77.81,88,100,5.73
144,Trairi,BR,2021-09-06 19:20:49,-3.2778,-39.2689,83.05,61,12,16.37
145,Aasiaat,GL,2021-09-06 19:24:08,68.7098,-52.8699,37.36,74,100,2.75
146,Beira,MZ,2021-09-06 19:24:09,-19.8436,34.8389,75.29,83,20,13.8
147,Lodja,CD,2021-09-06 19:24:09,-3.4833,23.4333,75.69,70,80,1.7
148,Sayyan,YE,2021-09-06 19:24:10,15.1718,44.3244,66.63,51,63,1.39
149,Liaocheng,CN,2021-09-06 19:24:10,36.4439,115.9647,61.92,97,97,6.17
150,Ponta Do Sol,PT,2021-09-06 19:19:59,32.6667,-17.1,79.0,75,40,8.46
151,Mehamn,NO,2021-09-06 19:24:11,71.0357,27.8492,38.16,78,48,4.43
152,Sambava,MG,2021-09-06 19:24:11,-14.2667,50.1667,71.19,90,100,12.17
153,Cape Town,ZA,2021-09-06 19:22:49,-33.9258,18.4232,52.12,86,0,3.0
154,Grand Gaube,MU,2021-09-06 19:24:13,-20.0064,57.6608,70.38,64,90,10.0
155,Dikson,RU,2021-09-06 19:24:13,73.5069,80.5464,48.25,76,100,19.89
156,Codrington,AU,2021-09-06 19:19:16,-38.2667,141.9667,51.87,78,97,13.47
157,Ust-Kuyga,RU,2021-09-06 19:24:14,70.0167,135.6,44.98,89,100,11.74
158,Vila Franca Do Campo,PT,2021-09-06 19:24:14,37.7167,-25.4333,72.01,83,59,7.96
159,Vardo,NO,2021-09-06 19:24:15,70.3705,31.1107,39.18,75,75,14.97
160,Yakeshi,CN,2021-09-06 19:24:15,49.2833,120.7333,43.05,90,98,3.78
161,Tobe,JP,2021-09-06 19:24:15,33.7447,132.7901,74.28,86,100,4.54
162,Riyadh,SA,2021-09-06 19:19:30,24.6877,46.7219,91.54,11,0,8.61
163,Qaanaaq,GL,2021-09-06 19:24:16,77.484,-69.3632,19.24,73,21,9.19
164,Saldanha,ZA,2021-09-06 19:24:17,-33.0117,17.9442,51.85,71,0,22.62
165,Valparaiso,CL,2021-09-06 19:24:17,-33.0393,-71.6273,62.83,46,20,16.11
166,Mosetse,BW,2021-09-06 19:24:18,-20.75,26.65,75.6,14,0,9.66
167,Wajima,JP,2021-09-06 19:24:18,37.4,136.9,69.6,78,94,11.01
168,Khasan,RU,2021-09-06 19:24:19,42.4308,130.6434,66.76,83,100,6.69
169,Boksitogorsk,RU,2021-09-06 19:24:19,59.474,33.8485,43.88,96,44,5.99
170,Kodiak,US,2021-09-06 19:24:20,57.79,-152.4072,56.71,72,1,4.61
171,Tayga,RU,2021-09-06 19:24:20,56.06,85.6197,50.25,80,6,4.32
172,Manavalakurichi,IN,2021-09-06 19:24:21,8.1333,77.3,78.89,83,100,13.35
173,Miles City,US,2021-09-06 19:24:21,46.4083,-105.8406,88.77,16,1,20.71
174,Puerto Penasco,MX,2021-09-06 19:24:22,31.3167,-113.5333,87.91,66,1,8.01
175,Punto Fijo,VE,2021-09-06 19:24:22,11.6956,-70.1996,88.3,58,73,19.95
176,Tarrafal,CV,2021-09-06 19:24:23,15.2833,-23.7667,81.39,79,9,3.31
177,Shellbrook,CA,2021-09-06 19:24:23,53.2168,-106.4011,69.03,33,100,15.32
